"","tourism","lat","lon","place","name","website"
"297",1,49.3723237,10.1793266,Bayern,250,88
"298",1,48.1608025,11.558494,Bayern,211,NA
"299",1,47.5550751,9.6880272,Bayern,193,69
"300",1,48.186258,11.5256023,Bayern,180,NA
"301",1,48.5759944,12.86261,Bayern,287,97
"302",1,49.0694006,10.3146641,Bayern,239,92
"303",1,49.3790618,12.7092014,Bayern,255,NA
"304",1,49.1050156,10.9634082,Bayern,271,NA
"305",1,47.9626324,11.4826079,Bayern,268,NA
"306",1,47.617809,12.188107,Bayern,184,NA
"307",1,49.3103751,12.8615998,Bayern,243,NA
"308",1,49.5579839,11.4934119,Bayern,NA,NA
"309",1,48.131173,11.5848875,Bayern,262,70
"310",1,49.0182196,13.2348245,Bayern,205,63
"311",1,47.6258592,12.9983589,Bayern,215,78
"312",1,49.9971666,11.7753295,Bayern,219,NA
"313",1,49.8853866,11.8250464,Bayern,258,84
"314",1,49.8889877,10.8829215,Bayern,230,82
"315",1,48.139619,11.5448616,Bayern,266,NA
"316",1,48.7739776,13.354816,Bayern,190,NA
"317",1,47.8103382,12.6559361,Bayern,201,73
"318",1,48.1441676,11.4948971,Bayern,179,62
"319",1,37.2394853,-122.0727212,California,325,NA
"320",1,36.965447,-122.0233393,California,305,NA
"321",1,37.536639,-122.518833,California,321,103
"322",1,33.711145,-118.293807,California,314,NA
"323",1,33.9229286,-118.3966622,California,309,NA
"324",1,37.8451814,-119.4910155,California,318,NA
"325",1,39.3174227,-120.3508604,California,302,100
"326",1,38.0440712,-122.8621908,California,322,NA
"327",1,37.7864903,-122.4095565,California,310,NA
"328",1,37.8665037,-122.2518994,California,320,99
"329",1,37.7873609,-122.411039,California,215,NA
"330",1,37.7937071,-122.4042094,California,319,104
"331",1,37.7874832,-122.4121498,California,323,111
"332",1,37.7879591,-122.4119802,California,306,102
"333",1,40.570063,-122.3883228,California,308,NA
"334",1,32.7923261,-117.25542,California,301,NA
"335",1,34.1013232,-118.3392963,California,313,107
"336",1,34.1013331,-118.3428868,California,312,109
"337",1,37.8692982,-122.2703506,California,307,110
"338",1,33.0769882,-116.6012231,California,316,NA
"339",1,32.7113277,-117.1597605,California,315,NA
"340",1,37.8296926,-122.5224797,California,317,NA
"341",1,37.787519,-122.4138348,California,324,106
"342",1,37.7840809,-122.4173773,California,311,105
"343",1,34.1819665,-116.8801558,California,303,101
"344",1,34.1817881,-116.8854204,California,304,108
"345",1,37.789391,-122.412106,California,300,98
"346",1,48.8423193,2.3496779,France,601,NA
"347",1,47.6425765,-3.4342001,France,NA,NA
"348",1,48.0810904,-1.6106511,France,375,NA
"349",1,49.1917314,6.9648127,France,370,NA
"350",1,48.8435435,2.2925165,France,326,NA
"351",1,48.2559887,4.0663353,France,362,NA
"352",1,48.6950981,-1.8495942,France,340,NA
"353",1,48.2755404,-4.6050697,France,399,NA
"354",1,44.0528143,5.7107443,France,528,NA
"355",1,43.2065011,2.3640662,France,349,NA
"356",1,48.6630721,-2.3131356,France,340,NA
"357",1,43.2074446,6.0298507,France,570,NA
"358",1,48.7870146,-3.5761597,France,NA,NA
"359",1,48.8150512,-3.4586306,France,374,NA
"360",1,48.8159442,-3.4586907,France,490,NA
"361",1,47.9889849,7.1241803,France,414,159
"362",1,43.2463907,5.4016126,France,514,NA
"363",1,48.8486639,2.3494402,France,387,NA
"364",1,48.8885148,2.3788605,France,583,NA
"365",1,45.6128492,6.8219949,France,342,NA
"366",1,48.7417066,7.3637011,France,340,NA
"367",1,47.2203275,-1.5355985,France,356,NA
"368",1,48.1027512,7.131849,France,413,137
"369",1,42.1874977,8.6668979,France,574,NA
"370",1,5.7448923,-53.9337364,France,353,141
"371",1,47.9212042,7.0386014,France,NA,NA
"372",1,47.6913126,-2.3568762,France,400,NA
"373",1,43.1088181,-1.2391722,France,577,NA
"374",1,44.717123,6.2219943,France,573,NA
"375",1,50.1171656,4.0824509,France,NA,NA
"376",1,43.614313,3.8792148,France,352,NA
"377",1,47.2137109,6.5380604,France,519,NA
"378",1,44.5487542,3.8146292,France,486,NA
"379",1,44.5412686,3.802899,France,469,NA
"380",1,44.2713502,3.7307527,France,475,NA
"381",1,44.2699214,4.0203178,France,482,NA
"382",1,43.6079991,3.1538384,France,378,NA
"383",1,48.6483879,7.2536296,France,392,NA
"384",1,43.1633016,-1.2357516,France,331,131
"385",1,43.2168459,5.5096927,France,369,NA
"386",1,47.4658318,-0.5896905,France,354,NA
"387",1,47.9244616,6.8717744,France,543,NA
"388",1,43.8428183,5.7766497,France,553,NA
"389",1,48.8657566,2.30895,France,344,NA
"390",1,43.775506,6.3417178,France,517,NA
"391",1,43.8432273,6.8592239,France,337,NA
"392",1,48.8420207,2.3411311,France,550,NA
"393",1,47.6120419,3.1042583,France,423,NA
"394",1,46.4642496,6.0544164,France,600,NA
"395",1,43.5055608,-1.5298154,France,433,NA
"396",1,45.047709,5.9781683,France,456,NA
"397",1,45.0336115,6.0179623,France,480,124
"398",1,43.1043277,-1.196568,France,469,NA
