"","place","lat","lon","mapfeature","kvalue","operator","capacity"
"2335229830","Baden-Württemberg",49.472324,8.4693375,"car_sharing","amenity",NA,NA
"2335230359","Baden-Württemberg",49.4680327,8.470008,"car_sharing","amenity",NA,NA
"2335234099","Baden-Württemberg",49.4643651,8.4826734,"car_sharing","amenity",NA,NA
"2335235577","Baden-Württemberg",49.4566141,8.4821265,"car_sharing","amenity",NA,NA
"2335235963","Baden-Württemberg",49.4532246,8.4912672,"car_sharing","amenity",NA,NA
"2335241036","Baden-Württemberg",49.4566332,8.4742353,"car_sharing","amenity",NA,NA
"2335247731","Baden-Württemberg",49.460943,8.4898376,"car_sharing","amenity",NA,NA
"2335253646","Baden-Württemberg",49.4382621,8.525283,"car_sharing","amenity",NA,NA
"2335305541","Baden-Württemberg",49.4688741,8.5540284,"car_sharing","amenity",NA,NA
"2335382447","Baden-Württemberg",49.4467206,8.6115235,"car_sharing","amenity",NA,NA
"2335382606","Baden-Württemberg",49.4004472,8.6339317,"car_sharing","amenity",NA,NA
"2335393642","Baden-Württemberg",49.4059958,8.6255954,"car_sharing","amenity",NA,NA
"2335395751","Baden-Württemberg",49.3989303,8.6277358,"car_sharing","amenity",NA,NA
"2335402053","Baden-Württemberg",49.4736004,8.6134425,"car_sharing","amenity",NA,NA
"2335403695","Baden-Württemberg",49.4706758,8.6067745,"car_sharing","amenity",NA,NA
"2335404685","Baden-Württemberg",49.4714706,8.6075415,"car_sharing","amenity",NA,NA
"2335408287","Baden-Württemberg",49.3490662,8.685476,"car_sharing","amenity",NA,NA
"2335413051","Baden-Württemberg",49.383934,8.8061769,"car_sharing","amenity","stadtmobil Rhein-Neckar","1"
"2335413092","Baden-Württemberg",49.3844312,8.8049405,"car_sharing","amenity","stadtmobil Rhein-Neckar","1"
"2335421798","Baden-Württemberg",49.3954731,8.6005137,"car_sharing","amenity",NA,NA
"2335423193","Baden-Württemberg",49.3873167,8.5679785,"car_sharing","amenity",NA,NA
"2335426955","Baden-Württemberg",49.3855602,8.5826234,"car_sharing","amenity",NA,NA
"2335432034","Baden-Württemberg",49.4761651,8.6603484,"car_sharing","amenity",NA,NA
"2338946556","Baden-Württemberg",49.5235401,8.6676254,"car_sharing","amenity",NA,NA
"2339006946","Baden-Württemberg",49.5462425,8.6704899,"car_sharing","amenity",NA,NA
"2339009600","Baden-Württemberg",49.5510055,8.6674027,"car_sharing","amenity",NA,NA
"2339010263","Baden-Württemberg",49.5453253,8.6484717,"car_sharing","amenity",NA,NA
"2339010472","Baden-Württemberg",49.5439087,8.6588894,"car_sharing","amenity",NA,NA
"2339013816","Baden-Württemberg",49.2932335,8.7017055,"car_sharing","amenity",NA,NA
"2339014939","Baden-Württemberg",49.2913897,8.6856257,"car_sharing","amenity",NA,NA
"2339089169","Baden-Württemberg",49.4151221,8.7620371,"car_sharing","amenity","Stadtmobil Rhein-Neckar AG","1"
"2339162300","Baden-Württemberg",49.4087408,8.6948581,"car_sharing","amenity","stadtmobil Rhein-Neckar",NA
"2339182116","Baden-Württemberg",49.4057652,8.6829089,"car_sharing","amenity","stadtmobil Rhein-Neckar",NA
"2339184004","Baden-Württemberg",49.377057,8.7037872,"car_sharing","amenity",NA,NA
"2340204863","Baden-Württemberg",49.382802,8.6689721,"car_sharing","amenity",NA,NA
"2340225604","Baden-Württemberg",49.4145642,8.6791001,"car_sharing","amenity","stadtmobil Rhein-Neckar",NA
"2340227227","Baden-Württemberg",49.4135694,8.6925166,"car_sharing","amenity",NA,NA
"2340228089","Baden-Württemberg",49.4159532,8.6836921,"car_sharing","amenity","stadtmobil Rhein-Neckar",NA
"2340228958","Baden-Württemberg",49.415674,8.6813317,"car_sharing","amenity","stadtmobil Rhein-Neckar",NA
"2340250034","Baden-Württemberg",49.4204972,8.6680274,"car_sharing","amenity",NA,NA
"2340254916","Baden-Württemberg",49.3976942,8.6424612,"car_sharing","amenity",NA,NA
"2340256714","Baden-Württemberg",49.4050115,8.6392987,"car_sharing","amenity",NA,NA
"2340276764","Baden-Württemberg",49.3862379,8.6927467,"car_sharing","amenity","Stadtmobil Rhein-Neckar",NA
"2340298571","Baden-Württemberg",49.4093291,8.659655,"car_sharing","amenity","stadtmobil","2"
"2340300436","Baden-Württemberg",49.4253936,8.6440139,"car_sharing","amenity",NA,NA
"2340300481","Baden-Württemberg",49.4213425,8.6473022,"car_sharing","amenity",NA,NA
"2340301417","Baden-Württemberg",49.4270161,8.6422111,"car_sharing","amenity",NA,NA
"2351889169","Baden-Württemberg",49.1473075,9.2172188,"car_sharing","amenity","stadtmobil","1"
"2351889171","Baden-Württemberg",49.1414692,9.2234543,"car_sharing","amenity","stadtmobil","1"
"2351889172","Baden-Württemberg",49.1432828,9.2216942,"car_sharing","amenity","stadtmobil","1"
"2351889173","Baden-Württemberg",49.1457768,9.2196055,"car_sharing","amenity","stadtmobil","1"
"2351889174","Baden-Württemberg",49.13387,9.2203388,"car_sharing","amenity","stadtmobil","1"
"2352273711","Baden-Württemberg",49.0058228,8.4316847,"car_sharing","amenity","Stadtmobil",NA
"2354959634","Baden-Württemberg",48.8093638,9.2742569,"car_sharing","amenity","Stadtmobil",NA
"2354962177","Baden-Württemberg",48.8132823,9.2700053,"car_sharing","amenity","Stadtmobil",NA
"2354963165","Baden-Württemberg",48.8051986,9.2793912,"car_sharing","amenity","Stadtmobil",NA
"2360438570","Baden-Württemberg",49.1429803,9.1238946,"car_sharing","amenity","stadtmobil","1"
"2375373930","Baden-Württemberg",49.1319781,9.2171459,"car_sharing","amenity","stadtmobil","1"
"2389178350","Baden-Württemberg",49.1429628,9.2202114,"car_sharing","amenity","stadtmobil","1"
"2407302723","Baden-Württemberg",49.4010895,8.6737918,"car_sharing","amenity","stadtmobil","2"
"2435258082","Baden-Württemberg",48.7735507,9.1536265,"car_sharing","amenity","Stadtmobil Stuttgart","3"
"2437878911","Baden-Württemberg",49.1202151,9.7339406,"car_sharing","amenity",NA,NA
"2462018100","Baden-Württemberg",48.5235752,9.0607547,"car_sharing","amenity","Ökostadt Tübingen e.V.","2"
"2479478255","Baden-Württemberg",48.5206711,9.048631,"car_sharing","amenity","Ökostadt Tübingen e.V.","2"
"2505321012","Baden-Württemberg",48.3609047,9.9810983,"car_sharing","amenity","Conficars","1"
"2509175461","Baden-Württemberg",48.9948841,8.3955533,"car_sharing","amenity","Stadtmobil CarSharing GmbH & Co. KG","3"
"2611506962","Baden-Württemberg",48.5038919,9.1931058,"car_sharing","amenity","http://teilauto-reutlingen.de/",NA
"2613795404","Baden-Württemberg",48.495958,9.2151227,"car_sharing","amenity","http://teilauto-reutlingen.de/","1"
"2613796371","Baden-Württemberg",48.4920386,9.2227321,"car_sharing","amenity","http://teilauto-reutlingen.de/",NA
